trial_id,label,label_binary,task_name,TimeStamp(s),FrameCounter,SampleIndex,RelativeIndex,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,AccMag,Jerk,PreTrigger,TriggerIndex,Reason
S01_right_fall_020,fall,1,right_fall,0.00,1,0,-160,-0.962,0.204,0.286,2.2,9.8,-1.7,1.025,0.201,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.01,2,1,-159,-0.958,0.208,0.278,2.5,9.8,-1.3,1.02,0.534,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.02,3,2,-158,-0.956,0.208,0.271,3.0,9.4,-1.0,1.016,0.387,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.03,4,3,-157,-0.959,0.216,0.274,3.9,9.1,-0.9,1.02,0.483,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.04,5,4,-156,-0.962,0.212,0.256,4.6,7.1,-1.0,1.018,0.263,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.05,6,5,-155,-0.959,0.216,0.272,5.6,6.1,-1.0,1.021,0.27,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.06,7,6,-154,-0.96,0.205,0.27,7.1,3.8,0.0,1.018,0.209,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.07,8,7,-153,-0.951,0.201,0.272,8.0,3.1,0.4,1.01,0.878,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.08,9,8,-152,-0.949,0.196,0.285,9.7,3.8,0.6,1.011,0.088,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.09,10,9,-151,-0.952,0.197,0.282,10.4,3.9,0.4,1.013,0.207,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.10,11,10,-150,-0.952,0.193,0.281,11.1,4.2,1.2,1.011,0.136,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.11,12,11,-149,-0.952,0.187,0.277,11.7,5.0,1.4,1.009,0.22,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.12,13,12,-148,-0.959,0.193,0.27,12.6,5.4,1.2,1.015,0.557,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.13,14,13,-147,-0.956,0.194,0.268,12.6,6.0,1.8,1.012,0.259,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.14,15,14,-146,-0.954,0.197,0.275,13.4,6.0,1.7,1.013,0.057,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.15,16,15,-145,-0.956,0.206,0.269,13.8,6.0,1.7,1.014,0.162,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.16,17,16,-144,-0.962,0.208,0.26,13.7,5.8,1.8,1.018,0.401,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.17,18,17,-143,-0.963,0.215,0.266,14.1,5.4,1.4,1.022,0.381,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.18,19,18,-142,-0.965,0.213,0.26,13.9,5.0,1.7,1.022,0.008,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.19,20,19,-141,-0.961,0.216,0.255,13.8,4.6,1.4,1.018,0.461,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.20,21,20,-140,-0.963,0.215,0.257,13.7,4.0,1.5,1.019,0.191,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.21,22,21,-139,-0.959,0.223,0.262,13.3,4.2,1.0,1.019,0.024,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.22,23,22,-138,-0.965,0.219,0.26,13.2,3.6,0.9,1.024,0.446,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.23,24,23,-137,-0.964,0.221,0.264,13.0,3.0,0.2,1.024,0.003,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.24,25,24,-136,-0.968,0.223,0.251,12.3,1.9,0.0,1.025,0.102,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.25,26,25,-135,-0.969,0.227,0.251,11.6,1.0,-0.2,1.027,0.211,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.26,27,26,-134,-0.96,0.226,0.254,11.4,0.1,-0.3,1.019,0.817,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.27,28,27,-133,-0.958,0.225,0.256,10.9,-0.5,-0.5,1.017,0.123,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.28,29,28,-132,-0.956,0.225,0.25,10.2,-1.3,-0.7,1.013,0.415,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.29,30,29,-131,-0.947,0.23,0.25,9.7,-1.5,-0.9,1.006,0.7,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.30,31,30,-130,-0.953,0.231,0.26,9.2,-1.5,-0.9,1.014,0.79,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.31,32,31,-129,-0.955,0.234,0.252,9.1,-0.9,-0.8,1.015,0.128,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.32,33,32,-128,-0.957,0.229,0.249,8.0,-0.3,-0.5,1.015,0.011,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.33,34,33,-127,-0.956,0.231,0.259,5.5,1.7,-1.0,1.017,0.145,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.34,35,34,-126,-0.95,0.23,0.262,5.2,2.3,-1.0,1.012,0.467,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.35,36,35,-125,-0.947,0.227,0.26,5.5,2.8,-1.3,1.009,0.364,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.36,37,36,-124,-0.948,0.233,0.25,5.4,2.7,-1.6,1.008,0.091,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.37,38,37,-123,-0.953,0.229,0.245,5.1,2.1,-1.5,1.011,0.314,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.38,39,38,-122,-0.951,0.222,0.243,4.7,1.6,-1.9,1.007,0.401,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.39,40,39,-121,-0.949,0.222,0.255,4.2,1.3,-1.7,1.008,0.081,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.40,41,40,-120,-0.957,0.228,0.273,5.0,1.1,-1.6,1.021,1.392,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.41,42,41,-119,-0.957,0.224,0.269,6.0,1.3,-1.4,1.02,0.196,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.42,43,42,-118,-0.953,0.217,0.249,6.2,1.8,-1.4,1.009,1.063,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.43,44,43,-117,-0.955,0.216,0.226,5.9,1.0,-1.4,1.005,0.384,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.44,45,44,-116,-0.962,0.216,0.241,5.7,0.7,-1.4,1.015,1.029,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.45,46,45,-115,-0.966,0.22,0.246,4.8,0.5,-1.1,1.021,0.517,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.46,47,46,-114,-0.961,0.222,0.261,4.9,1.0,-1.1,1.02,0.014,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.47,48,47,-113,-0.958,0.224,0.264,4.7,2.0,-0.9,1.019,0.138,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.48,49,48,-112,-0.952,0.229,0.272,4.8,2.5,-0.9,1.016,0.264,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.49,50,49,-111,-0.957,0.227,0.268,5.7,1.9,-0.9,1.019,0.264,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.50,51,50,-110,-0.964,0.228,0.258,5.9,0.9,-0.8,1.024,0.515,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.51,52,51,-109,-0.968,0.221,0.263,5.8,0.1,-0.4,1.027,0.321,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.52,53,52,-108,-0.967,0.218,0.257,6.0,-0.6,-0.4,1.024,0.287,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.53,54,53,-107,-0.966,0.214,0.246,5.8,-0.7,0.1,1.019,0.503,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.54,55,54,-106,-0.961,0.216,0.248,5.6,-1.1,-0.2,1.016,0.35,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.55,56,55,-105,-0.959,0.218,0.248,5.3,-1.4,0.0,1.015,0.108,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.56,57,56,-104,-0.958,0.221,0.248,5.3,-1.5,-0.4,1.014,0.068,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.57,58,57,-103,-0.959,0.226,0.255,5.2,-1.5,-0.5,1.018,0.396,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.58,59,58,-102,-0.956,0.225,0.253,5.7,-1.9,-0.2,1.014,0.379,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.59,60,59,-101,-0.961,0.222,0.254,5.3,-1.8,-0.5,1.019,0.442,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.60,61,60,-100,-0.949,0.217,0.254,5.7,-1.7,-0.3,1.007,1.187,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.61,62,61,-99,-0.952,0.216,0.254,5.4,-1.4,-0.3,1.009,0.173,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.62,63,62,-98,-0.948,0.221,0.24,5.0,-1.3,0.4,1.003,0.592,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.63,64,63,-97,-0.949,0.214,0.26,5.3,-0.7,0.3,1.007,0.437,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.64,65,64,-96,-0.949,0.214,0.253,5.1,0.1,0.2,1.005,0.156,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.65,66,65,-95,-0.949,0.213,0.251,5.6,0.3,0.2,1.005,0.069,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.66,67,66,-94,-0.95,0.217,0.258,5.8,0.5,0.8,1.009,0.387,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.67,68,67,-93,-0.954,0.219,0.256,6.2,0.9,0.8,1.012,0.338,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.68,69,68,-92,-0.955,0.217,0.252,6.8,1.3,1.0,1.012,0.054,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.69,70,69,-91,-0.953,0.219,0.254,6.6,1.2,1.1,1.01,0.122,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.70,71,70,-90,-0.956,0.223,0.248,6.5,1.3,1.3,1.013,0.262,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.71,72,71,-89,-0.953,0.22,0.252,6.8,1.2,1.3,1.011,0.226,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.72,73,72,-88,-0.954,0.224,0.253,7.0,1.2,1.5,1.013,0.203,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.73,74,73,-87,-0.952,0.22,0.248,6.5,1.3,1.0,1.009,0.409,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.74,75,74,-86,-0.958,0.226,0.252,6.8,1.7,1.5,1.016,0.751,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.75,76,75,-85,-0.957,0.226,0.252,6.7,2.2,1.6,1.015,0.092,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.76,77,76,-84,-0.958,0.227,0.254,7.0,2.6,1.8,1.017,0.213,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.77,78,77,-83,-0.952,0.227,0.25,6.9,2.9,1.5,1.01,0.723,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.78,79,78,-82,-0.957,0.233,0.246,6.2,2.3,1.5,1.015,0.496,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.79,80,79,-81,-0.956,0.229,0.251,6.4,2.1,1.8,1.015,0.026,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.80,81,80,-80,-0.953,0.223,0.257,5.9,1.8,1.3,1.012,0.288,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.81,82,81,-79,-0.96,0.225,0.256,6.3,1.6,1.3,1.019,0.661,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.82,83,82,-78,-0.96,0.227,0.262,6.7,1.3,0.9,1.021,0.233,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.83,84,83,-77,-0.958,0.224,0.262,6.8,1.3,0.5,1.019,0.19,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.84,85,84,-76,-0.961,0.225,0.26,6.9,0.8,0.0,1.02,0.153,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.85,86,85,-75,-0.96,0.227,0.26,7.2,0.5,-0.4,1.021,0.038,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.86,87,86,-74,-0.963,0.226,0.243,7.1,-0.1,-0.9,1.019,0.166,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.87,88,87,-73,-0.965,0.235,0.243,6.9,-1.1,-1.1,1.023,0.342,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.88,89,88,-72,-0.964,0.24,0.25,6.2,-1.5,-1.0,1.025,0.197,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.89,90,89,-71,-0.967,0.239,0.25,6.3,-2.5,-1.1,1.027,0.276,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.90,91,90,-70,-0.959,0.24,0.252,6.5,-2.5,-1.1,1.021,0.664,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.91,92,91,-69,-0.955,0.241,0.251,6.6,-2.7,-1.6,1.017,0.367,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.92,93,92,-68,-0.952,0.242,0.247,6.1,-2.5,-1.6,1.013,0.422,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.93,94,93,-67,-0.959,0.238,0.229,5.5,-3.3,-1.6,1.015,0.177,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.94,95,94,-66,-0.945,0.231,0.234,4.1,-3.2,-1.5,1.0,1.407,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.95,96,95,-65,-0.943,0.241,0.25,4.1,-3.3,-1.9,1.005,0.494,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.96,97,96,-64,-0.95,0.241,0.268,4.7,-3.7,-1.8,1.017,1.119,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.97,98,97,-63,-0.948,0.233,0.254,5.4,-3.1,-1.6,1.009,0.742,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.98,99,98,-62,-0.943,0.233,0.246,5.3,-3.2,-1.3,1.002,0.739,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,0.99,100,99,-61,-0.943,0.229,0.233,5.4,-2.9,-1.0,0.998,0.366,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.00,101,100,-60,-0.944,0.23,0.244,4.5,-1.5,-0.9,1.002,0.412,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.01,102,101,-59,-0.947,0.232,0.252,4.3,0.1,-0.6,1.007,0.507,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.02,103,102,-58,-0.944,0.233,0.266,4.8,1.8,-0.3,1.008,0.095,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.03,104,103,-57,-0.945,0.24,0.272,4.9,3.4,-0.2,1.012,0.395,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.04,105,104,-56,-0.949,0.234,0.263,5.9,3.5,0.0,1.012,0.005,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.05,106,105,-55,-0.955,0.233,0.257,6.0,3.1,0.1,1.016,0.372,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.06,107,106,-54,-0.955,0.231,0.254,6.0,2.9,-0.3,1.015,0.044,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.07,108,107,-53,-0.954,0.236,0.249,6.2,2.8,-0.2,1.014,0.141,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.08,109,108,-52,-0.953,0.242,0.24,6.3,2.4,-0.5,1.013,0.136,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.09,110,109,-51,-0.956,0.239,0.234,5.6,1.9,-0.9,1.013,0.051,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.10,111,110,-50,-0.946,0.24,0.233,5.5,1.9,-1.3,1.004,0.96,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.11,112,111,-49,-0.946,0.242,0.242,5.4,1.5,-1.7,1.006,0.283,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.12,113,112,-48,-0.946,0.241,0.256,5.3,1.9,-2.5,1.009,0.258,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.13,114,113,-47,-0.939,0.241,0.25,6.0,2.1,-2.9,1.001,0.767,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.14,115,114,-46,-0.933,0.239,0.254,6.5,2.3,-3.3,0.996,0.507,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.15,116,115,-45,-0.924,0.233,0.253,7.4,2.7,-4.1,0.986,1.035,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.16,117,116,-44,-0.914,0.233,0.257,8.5,3.8,-4.6,0.978,0.77,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.17,118,117,-43,-0.917,0.235,0.27,9.0,4.6,-4.8,0.985,0.66,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.18,119,118,-42,-0.909,0.233,0.266,10.6,6.0,-5.0,0.975,0.936,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.19,120,119,-41,-0.9,0.231,0.263,12.1,6.9,-4.7,0.966,0.964,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.20,121,120,-40,-0.881,0.239,0.278,14.1,8.4,-4.8,0.954,1.139,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.21,122,121,-39,-0.863,0.234,0.282,16.9,9.6,-5.2,0.938,1.665,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.22,123,122,-38,-0.834,0.233,0.271,19.6,10.7,-5.3,0.908,2.996,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.23,124,123,-37,-0.806,0.229,0.259,22.6,11.5,-5.6,0.877,3.07,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.24,125,124,-36,-0.779,0.229,0.252,24.6,12.0,-6.0,0.85,2.71,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.25,126,125,-35,-0.747,0.229,0.24,26.9,12.1,-6.9,0.818,3.22,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.26,127,126,-34,-0.727,0.233,0.25,28.7,12.7,-7.1,0.803,1.435,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.27,128,127,-33,-0.708,0.238,0.246,30.5,14.1,-7.1,0.787,1.681,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.28,129,128,-32,-0.702,0.244,0.257,31.9,16.5,-6.4,0.786,0.044,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.29,130,129,-31,-0.689,0.256,0.264,33.2,20.3,-6.1,0.781,0.488,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
S01_right_fall_020,fall,1,right_fall,1.30,131,130,-30,-0.684,0.265,0.276,35.3,27.5,-7.1,0.784,0.237,True,160,suspected_fall_peak1.39_az0.16_maxGyro191.1_thetaSwing29.6
